,PlayerName,Last30,Last7
685,Granollers M.,0,0
686,Dustov F.,0,0
687,Chaki R.,0,0
688,Sousa P.,0,0
689,Brands D.,0,0
690,Bachinger M.,0,0
691,Eysseric J.,0,0
692,Recouderc L.,0,0
693,Giraldo S.,0,0
694,Tveit E.,0,0
695,Isner J.,0,0
696,Nishikori K.,2,0
697,Lacko L.,0,0
698,Fischer M.,0,0
699,Gonzalez M.,0,0
700,Riba P.,0,0
701,Olejniczak D.,0,0
702,Klizan M.,0,0
703,Cuevas P.,0,0
704,McClune M.,0,0
705,Echagaray B.,0,0
706,Yu X.Y.,0,0
707,Gard C.,0,0
708,Meffert D.,0,0
709,Lindahl N.,0,0
710,Stadler S.,0,0
711,Singh N.,0,0
712,Dev Varman S.,0,0
713,Guez D.,0,0
714,Nam H.W.,0,0
715,Matsukevitch D.,0,0
716,Golubev A.,0,0
717,Chekov P.,0,0
718,Kudryavtsev A.,0,0
719,Dorsch B.,0,0
720,Statham R.,0,0
721,Rosol L.,0,0
722,Slanar M.,0,0
723,Podlipnik H.,0,0
724,Marrero D.,0,0
725,Munoz de la Nava D.,0,0
726,Decoud S.,0,0
727,Bowles C.,0,0
728,Crugnola M.,0,0
729,Bellucci T.,0,0
730,Smyczek T.,0,0
731,Skugor F.,0,0
732,Kavcic B.,0,0
733,Anderson K.,0,0
734,Elias G.,0,0
735,Harrison R.,0,0
736,Kukushkin M.,0,0
737,Marrai M.,0,0
738,Trujillo G.,0,0
739,Del Potro J.,0,0
740,Sidorenko A.,0,0
741,Fabbiano T.,0,0
742,Sanchez De Luna J.,0,0
743,Lopez-Jaen M.A.,0,0
744,De Voest R.,0,0
745,Berankis R.,0,0
746,Dimitrov G.,3,0
747,Ward J.,0,0
748,Nielsen F.,0,0
749,Slabinsky A.,0,0
750,Groth S.,0,0
751,Kamke T.,0,0
752,Van der Merwe I.,0,0
753,Eaton C.,0,0
754,Goransson T.,0,0
755,Ouanna J.,0,0
756,Dabul B.,0,0
757,Brizzi A.,0,0
758,Jun W.S.,0,0
759,Oswald P.,0,0
760,Mayer L.,0,0
761,Belic L.,0,0
762,Yani M.,0,0
763,Ignatik U.,0,0
764,Ball C.,0,0
765,Krajicek A.,0,0
766,Cruciat A.,0,0
767,Qureshi A.U.H.,0,0
768,Xu J.C.,0,0
769,Jouan R.,0,0
770,Mannarino A.,0,0
771,Ito Y.,0,0
772,Ito T.,0,0
773,Lejnieks K.,0,0
774,Tomic B.,0,0
775,Devvarman S.,0,0
776,Statham J.,0,0
777,Klein B.,0,0
778,Klaasen R.,0,0
779,Dodig I.,0,0
